id,tarefa_id,usuario,data,horas_trabalhadas
1,10,Juliana Costa,2025-01-31,7.91
2,75,Amanda Ferreira,2025-04-22,1.5
3,58,Carla Souza,2025-03-30,4.36
4,69,Lucas Pereira,2022-03-30,4.79
5,60,Pedro Henrique Souza,2025-03-10,1.36
6,88,Felipe Rocha,2024-11-21,7.12
7,6,Juliana Costa,2025-04-09,1.91
8,92,Vinícius Moreira,2022-06-12,4.26
9,7,Pedro Henrique Souza,2025-04-22,2.97
10,23,Carla Souza,2024-12-11,8.62
11,72,Rafael Carvalho,2025-06-23,2.87
12,60,Pedro Henrique Souza,2025-03-11,1.65
13,8,Vinícius Moreira,2022-07-11,1.74
14,52,Pedro Henrique Souza,2025-05-31,6.03
15,34,Gustavo Ribeiro,2022-12-26,0.71
16,9,Marcelo Cardoso,2022-10-25,4.71
17,17,Roberto Nogueira,2025-03-16,1.66
18,60,Pedro Henrique Souza,2025-03-12,9.28
19,56,Ricardo Teixeira,2023-01-26,4.25
20,4,Thiago Nascimento,2024-11-15,4.55
21,46,Marcelo Cardoso,2024-12-21,3.11
22,58,Carla Souza,2025-03-24,0.83
23,80,Fernanda Gomes,2022-03-31,6.65
24,64,Gustavo Ribeiro,2025-04-27,5.05
25,12,Gustavo Ribeiro,2022-07-20,1.8
26,26,Vinícius Moreira,2022-10-16,2.87
27,70,Patrícia Lima,2022-05-26,9.9
28,92,Vinícius Moreira,2022-06-28,5.67
29,63,Amanda Ferreira,2025-05-12,3.56
30,35,Marina Lopes,2024-11-08,3.53
31,29,Pedro Henrique Souza,2025-02-14,1.06
32,61,Rafael Carvalho,2025-05-18,7.79
33,30,Gustavo Ribeiro,2024-10-17,2.85
34,31,Amanda Ferreira,2025-05-05,8.25
35,95,Fernanda Gomes,2022-12-11,5.97
36,50,Carla Souza,2024-12-12,2.17
37,76,Camila Batista,2024-09-01,7.51
38,46,Marcelo Cardoso,2025-01-16,0.77
39,90,Carla Souza,2025-07-19,5.85
40,25,Diego Santana,2025-09-01,5.65
41,23,Carla Souza,2024-12-05,1.36
42,30,Gustavo Ribeiro,2024-10-25,0.69
43,62,Marina Lopes,2024-09-05,9.22
44,26,Vinícius Moreira,2022-08-26,3.74
45,23,Carla Souza,2024-12-10,1.07
46,19,Carla Souza,2023-01-03,7.86
47,68,Marcelo Cardoso,2024-12-16,9.63
48,48,João Pedro Alves,2024-10-13,6.79
49,76,Camila Batista,2024-08-02,3.37
50,18,Rafael Carvalho,2025-03-18,8.02
51,63,Amanda Ferreira,2025-05-09,2.15
52,72,Rafael Carvalho,2025-05-29,2.62
53,76,Camila Batista,2024-07-23,4.09
54,94,Amanda Ferreira,2022-11-03,1.71
55,94,Amanda Ferreira,2022-12-25,9.51
56,51,Renato Barros,2023-02-22,0.81
57,78,Ana Carolina Duarte,2025-01-04,9.69
58,29,Pedro Henrique Souza,2025-02-24,1.49
59,64,Gustavo Ribeiro,2025-03-30,7.58
60,31,Amanda Ferreira,2025-04-21,2.09
61,12,Gustavo Ribeiro,2022-08-21,7.43
62,43,Diego Santana,2024-10-27,3.02
63,32,Amanda Ferreira,2022-11-03,3.83
64,14,Carla Souza,2024-11-22,0.96
65,57,Rafael Carvalho,2025-02-04,9.71
66,53,Felipe Rocha,2022-05-23,3.84
67,49,Bruno Oliveira,2025-01-02,7.99
68,74,Roberto Nogueira,2022-11-19,2.05
69,10,Juliana Costa,2025-01-18,3.3
70,41,Luciana Pinto,2024-11-14,1.2
71,22,Rafael Carvalho,2024-10-27,2.03
72,10,Juliana Costa,2025-01-25,3.71
73,79,Thiago Nascimento,2022-11-07,7.19
74,56,Ricardo Teixeira,2022-12-21,6.27
75,56,Ricardo Teixeira,2022-12-14,1.46
76,27,Larissa Freitas,2022-09-09,7.12
77,93,Larissa Freitas,2024-10-17,3.02
78,37,Amanda Ferreira,2025-01-12,1.41
79,51,Renato Barros,2023-02-20,8.48
80,20,Rafael Carvalho,2022-07-06,0.54
81,12,Gustavo Ribeiro,2022-08-20,6.2
82,26,Vinícius Moreira,2022-08-13,2.47
83,82,Carla Souza,2025-03-19,5.0
84,15,Amanda Ferreira,2024-09-11,4.97
85,85,Luciana Pinto,2022-07-01,6.6
86,50,Carla Souza,2024-12-24,8.91
87,48,João Pedro Alves,2024-09-11,0.92
88,57,Rafael Carvalho,2025-01-15,2.65
89,35,Marina Lopes,2024-11-12,1.94
90,90,Carla Souza,2025-07-13,1.31
91,45,Larissa Freitas,2022-08-11,4.43
92,97,Lucas Pereira,2024-11-06,5.76
93,50,Carla Souza,2025-01-03,4.48
94,69,Lucas Pereira,2022-04-03,5.94
95,31,Amanda Ferreira,2025-04-20,1.25
96,92,Vinícius Moreira,2022-07-01,5.93
97,67,Juliana Costa,2022-09-29,6.94
98,80,Fernanda Gomes,2022-03-23,9.52
99,58,Carla Souza,2025-03-25,9.74
100,25,Diego Santana,2025-07-05,4.52
